,comment,coupon,name,price,shop
118,4300+,"京东物流,免邮,赠,险",华为（HUAWEI） 华为畅享7 4G智能手机 香槟金 全网通(3G+32G),748.00,明日手机专营店
119,6.3万+,自营,天语（K-TOUCH）E2 电信2G 直板按键老人手机 超长待机学生备用 老年机 金色,145.00,天语手机京东自营官方旗舰店
120,7900+,"免邮,赠",华为（HUAWEI） 荣耀v10 手机 魅丽红 尊享版（6GB+128GB）,2399.00,鹏路网络手机旗舰店
121,30万+,自营,荣耀Play 全网通版 6GB+128GB 幻夜黑 移动联通4G全面屏游戏手机 双卡双待,2399.00,荣耀京东自营旗舰店
122,4300+,"京东物流,免邮,赠",华为（HUAWEI） 华为畅享8 手机 蓝色 全网通（4G+64G）,1099.00,聚捷联盛手机旗舰店
123,1.2万+,"京东物流,免邮,券500-10,赠,险",华为（HUAWEI） 荣耀 畅玩6 全网通4G智能手机 双卡双待 金色（2G+16G）,546.00,OKSJ手机旗舰店
124,600+,"新品,免邮,满2100-300,赠,险",华为（HUAWEI） 华为麦芒7 手机6 5 魅海蓝 6G+64G全网通,2399.00,炜东电商旗舰店
125,4000+,"京东物流,免邮,赠,险",华为（HUAWEI） 华为nova3 手机 蓝楹紫 全网通(6G+128G),2799.00,炜东电商旗舰店
126,2万+,"自营,赠",努比亚 nubia Z18mini 全面屏手机 6GB+64GB 耀钻黑 移动联通电信4G手机 双卡双待,1499.00,努比亚京东自营旗舰店
127,1.7万+,"京东物流,闪购,赠",vivo X21 新一代全面屏 双摄拍照手机 移动联通电信4G 双卡双待 6G+128G 冰钻黑,2798.00,vivo官方旗舰店
128,400+,"京东物流,免邮,赠,险",魅族（MEIZU） 魅族 X8 全面屏游戏手机 全网通4G手机 双卡双待 亮黑（6G+128G）,1998.00,OKSJ手机旗舰店
129,7300+,自营,联想A5 3GB+16GB 螺黛黑 5.45英寸全面屏 全网通手机 双卡双待,467.00,联想手机京东自营官方旗舰店
130,800+,"免邮,险",小米（MI） 红米6A 移动联通电信4G 老年智能手机 双卡双待 流沙金 全网通(2G+16G),535.00,掌视界数码旗舰店
131,6300+,免邮,小米（MI） 小米红米6a手机 流沙金 标配版（2G+16G）,535.00,聚捷联盛手机旗舰店
132,1400+,"京东物流,免邮,险",小米（MI） 红米6A 全面屏手机 全网通（2G+16G）铂银灰,535.00,明日手机专营店
133,200+,"免邮,满2099-100,赠,险",华为（HUAWEI） 荣耀v10 手机 极光蓝 全网通(6+64G),1999.00,炜东电商旗舰店
134,2.8万+,"秒杀,免邮,赠,险",Apple 苹果 iPhone 6s Plus 4G手机 玫瑰金 全网通 32GB,2688.00,佳沪手机旗舰店
135,5000+,"免邮,赠,险",华为（HUAWEI） Mate10 Pro 全面屏 手机 宝石蓝色 全网通4G(6G+64G),2980.00,掌视界数码旗舰店
136,3100+,"免邮,赠",华为（HUAWEI） 华为荣耀Play手机 幻夜黑 6G+128G尊享版,2399.00,牧申手机旗舰店
137,41万+,自营,小米8SE 全面屏智能手机 4GB+64GB 金色 全网通4G 双卡双待,1499.00,小米京东自营旗舰店
138,600+,"新品,免邮,赠",魅族（MEIZU） 魅族 16th 游戏全面屏手机 静夜黑6G+128G,3038.00,聚捷联盛手机旗舰店
139,300+,"新品,闪购,免邮,赠,险",华为（HUAWEI） 华为Mate20 Pro 手机 亮黑色 全网通6GB+128GB,5458.00,佳沪手机旗舰店
140,7400+,"京东物流,闪购,赠",vivo X21 新一代全面屏 双摄拍照手机 移动联通电信4G 双卡双待 冰钻黑 6GB+64GB,2498.00,vivo官方旗舰店
141,1900+,"秒杀,免邮,满3388-200,赠",华为（HUAWEI） P20 手机 极光色 全网通 6GB+64G【送1年原装碎屏险】,3388.00,福气多多通信专营店
