,comment,coupon,name,price,shop
0,89万+,自营,荣耀9i 4GB+64GB 幻夜黑 移动联通电信4G全面屏手机 双卡双待,1199.00,荣耀京东自营旗舰店
1,102万+,"自营,券6000-300",Apple iPhone X (A1865) 64GB 深空灰色 移动联通电信4G手机,6999.00,京东Apple产品专营店
2,106万+,自营,Apple iPhone 8 64GB 红色特别版 移动联通电信4G手机,5099.00,京东Apple产品专营店
3,80万+,"自营,券1980-100",荣耀10 GT游戏加速 AIS手持夜景 6GB+64GB 幻影蓝全网通 移动联通电信4G 双卡双待 游戏,2199.00,荣耀京东自营旗舰店
4,5.2万+,自营,OPPO Find X曲面全景屏 波尔多红 8GB+128GB 全网通 移动联通电信全网通4G 双卡双待,4999.00,OPPO京东自营官方旗舰店
5,46万+,自营,华为 HUAWEI P20 AI智慧徕卡双摄全面屏游戏手机 6GB+64GB 极光色 全网通移动联通电信4G 双卡双待,3388.00,华为京东自营官方旗舰店
6,12万+,"自营,赠",黑鲨游戏手机 8GB+128GB 极夜黑 液冷更快 全网通4G 双卡双待,2999.00,黑鲨京东自营官方旗舰店
7,28万+,自营,华为 HUAWEI P20 Pro 全面屏徕卡三摄游戏手机 6GB+128GB 极光色 全网通移动联通电信4G 双卡双待,4988.00,华为京东自营官方旗舰店
8,39万+,"自营,券500-20",vivo Z1极光特别版 新一代全面屏AI双摄手机 4GB+64GB 移动联通电信全网通4G,1398.00,vivo京东自营官方旗舰店
9,15万+,自营,华为 HUAWEI nova 3全面屏高清四摄游戏手机 6GB+128GB 亮黑色 全网通移动联通电信4G 双卡双待,2799.00,华为京东自营官方旗舰店
10,42万+,自营,一加手机6 6GB+64GB 亮瓷黑 全面屏双摄游戏手机 全网通4G 双卡双待,2799.00,一加手机京东自营官方旗舰店
11,149万+,自营,Apple iPhone 8 Plus 64GB 红色特别版 移动联通电信4G手机,5999.00,京东Apple产品专营店
12,16万+,自营,诺基亚 NOKIA X6 6GB+64GB 星空黑 全网通 双卡双待 移动联通电信4G手机,1599.00,诺基亚手机京东自营旗舰店
13,7.4万+,"自营,新品",荣耀Note10 全网通6G+64G 幻夜黑 移动联通电信4G全面屏手机 双卡双待 游戏手机,2699.00,荣耀京东自营旗舰店
14,10万+,"自营,闪购",锤子（smartisan）坚果 Pro2 特别版 6G+64GB 碳黑色 全面屏双摄 全网通4G 双卡双待 游戏,1499.00,锤子科技京东自营旗舰店
